VIN,"Instructions (build card using nhtsa including other info to select car trim, engine, etc when VIN search prompts variations ",PN 1,PN 2,PN 3 ,PN 4,PN 5,PN 6,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6
5XYK33DF9TG357949,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""fob smart key""",95440-P1AB0,95440-P1AL0,,,,,https://kia.oempartsonline.com/oem-parts/kia-fob-smart-key-95440p1ab0,https://kia.oempartsonline.com/oem-parts/kia-fob-smart-key-95440p1al0,,,,
5XYP64GC8SG652916,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter""
5- scroll to related parts -> transmitter -> keys with different buttons are listed as ""transmitter""",95440-S9640,95440-S9630,95440-S9610,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9630,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9610,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9640,,,
5XYP5DGC0RG521069,"1- go to https://kia.oempartsonline.com/ 
2- insert VIN number
3- confirm car trim ""SX Prestige X-Pro 3.8L V6 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components"", the keys are listed as ""transmitter""
5- then from ""electrical"" -> ""electrical components"" -> rest of keys are listed as ""transmitter""",95440-S9540,95440-S9530,95440-S9610,95440-S9510,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9510,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9530,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9540,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9610,,
5XXG14J21PG194890,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter""",95440-L3430,,,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440l3430,,,,,
5XYP5DHC8NG322232,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter"" and ""keyless entry transmitter""
5- then from ""electrical"" -> ""electrical components"" -> rest of keys are listed as ""transmitter""",95440-S9200,95440-S9000,95440-S9330,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9000,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440s9200,2022 Kia Telluride Transmitter 95440-S9330 | OEM Parts Online,,,
3KPF24AD0ME379821,"1- go to https://kia.oempartsonline.com/ 
2- insert VIN number
3- confirm car trim ""LXS 2.0L L4 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components""
5- the keys are listed as ""remote control""",95430-M6000,95440-M7001,,,,,https://kia.oempartsonline.com/oem-parts/kia-remote-control-95430m6000,https://kia.oempartsonline.com/oem-parts/kia-remote-control-95440m7001,,,,
KNDPB3AC9G7856028,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter"" and ""keyless entry transmitter""",95440-3W500,95430-3W100,95430-3W350,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-954403w500,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-954303w350,https://kia.oempartsonline.com/oem-parts/kia-transmitter-954303w100,,,
KNAFK4A68G5587539 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""keyless lock pad"" and ""keyless entry transmitter""",95430-A7400,95440-A7500,,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-lock-pad-95440a7500,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430a7400,,,,
5XYKT4A65FG588409,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter""",95440-1U500,,,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-954401u500,,,,,
5XYKT4A65FG633459,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components"", scroll down to ""related parts""
4- the keys are listed as ""transmitter""",95440-1U500,,,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-954401u500,,,,,
KNADM4A30E6377886 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components"", scroll down to ""related parts"", 
the keys are listed as ""transmitter"" and ""keyless entry transmitter""
4- then from ""electrical"" category, ""anti theft system"" subcategory, rest of keys are listed as ""transmitter""",95440-1W100,95430-1W021,95440-1W140,95430-1W022,95440-1W101,95430-1W023,https://kia.oempartsonline.com/oem-parts/kia-transmitter-954301w022,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-954401w101,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-954301w021,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-954301w023,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-954401w100,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-954401w140
5XXGR4A61EG351164 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components"" category, the keys are listed as ""transmitter""
4- then from ""electrical"" category, ""anti theft system"" subcategory, rest of keys are listed as ""keyless entry transmitter""",95430-2T560,95440-2T510,95440-4U000,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-954402t510,https://kia.oempartsonline.com/oem-parts/kia-transmitter-954302t560,2014-2016 Kia Optima Keyless Entry Transmitter 95440-4U000 | OEM Parts Online,,,
5XYRLDJC0SG325226 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components"" category
4- the keys are listed as ""keyless entry transmitter""",95440-P2AA0,95440-P2AK0,95440-P2AB0,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440p2ak0,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440p2aa0,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440p2ab0,,,
